"Call ID","Agent Version","Started At","Duration (s)",Status,"Disconnect Reason","Function Calls",Errors,"Has check_availability"
call_b6157f7fd6caa6c745383691d5a,118,"2025-10-20 07:24:46",63.2,ended,user_hangup,0,0,No
call_55c2314d7886eaa9641084e2da5,117,"2025-10-19 22:34:19",23,ended,user_hangup,0,0,No
call_8c71101ef7fe42e973287652e59,117,"2025-10-19 22:20:14",27.5,ended,user_hangup,0,0,No
call_7aa8de25fe55cdd9844b9df6029,117,"2025-10-19 21:58:31",37.3,ended,user_hangup,0,0,No
call_cbcd20125025ea4028171caff69,117,"2025-10-19 21:32:54",25.1,ended,user_hangup,0,0,No
call_a2f8d0711d6d6edcc0d7f18b6e0,116,"2025-10-19 21:31:48",31.3,ended,user_hangup,0,0,No
call_aab6477ff7e8ffff76dc0a66ca8,116,"2025-10-19 21:25:34",30.8,ended,user_hangup,0,0,No
call_f678b963afcae3cea068a43091b,115,"2025-10-19 21:08:09",93.9,ended,user_hangup,0,0,No
call_0e0edc1f1fe7c1c60d622bc83cb,115,"2025-10-19 18:40:03",124.4,ended,user_hangup,0,0,No
call_38f0443038f192ffa6c098f663e,115,"2025-10-19 18:18:36",110.2,ended,user_hangup,0,0,No
call_25bcd9d4aba994827dde20c5d26,114,"2025-10-19 18:00:55",64.8,ended,user_hangup,0,0,No
call_02227580c20c14752eb85153980,114,"2025-10-18 21:54:31",54.6,ended,user_hangup,0,0,No
call_8e916eea3646c0d50dc0aff903d,114,"2025-10-18 21:52:06",40.8,ended,user_hangup,0,0,No
call_33ddf7362363c3a5207c02efa79,113,"2025-10-18 21:45:11",41.8,ended,user_hangup,0,0,No
call_e9ba1d4e4f69bc50fb35bb1e2e2,112,"2025-10-18 21:37:35",42.5,ended,user_hangup,0,0,No
call_1b75c9bb21cfbe5b7107c4bc7d2,112,"2025-10-18 21:29:51",57.7,ended,user_hangup,0,0,No
call_1e08772eec991fc9188fcd6b116,112,"2025-10-18 21:26:23",60.1,ended,user_hangup,0,0,No
call_723d3bc8e8b8c169e1bc39b3e0e,110,"2025-10-18 21:12:25",59.5,ended,user_hangup,0,0,No
call_c7b9d310bf8573245284478d706,110,"2025-10-18 21:03:04",31.1,ended,user_hangup,0,0,No
call_004584370aaff9ab5ba92472eb0,110,"2025-10-18 20:58:51",45.2,ended,user_hangup,0,0,No
call_38b765e0d5fa2e83420abac7f8f,110,"2025-10-18 20:53:57",29.7,ended,user_hangup,0,0,No
call_7fe5e4cee70c82003eb1b41824e,110,"2025-10-18 20:33:51",30.2,ended,user_hangup,0,0,No
call_f7dd1910f6e126759d5845296c1,110,"2025-10-18 20:27:38",47.7,ended,user_hangup,0,0,No
call_551832030affeb56bcfcf2f1971,110,"2025-10-18 20:20:07",23.6,ended,user_hangup,0,0,No
call_ca15c388b2606481c182734d2cf,110,"2025-10-18 20:12:31",67,ended,user_hangup,0,0,No
call_7fc637be3e06dc19b5fa3109640,110,"2025-10-18 19:56:36",56.2,ended,user_hangup,0,0,No
call_e9396ce5ad78c305a9cb87e69de,109,"2025-10-18 19:53:51",20.4,ended,user_hangup,0,0,No
call_dfd431dd4d8c024107f2a23b1ae,109,"2025-10-18 19:14:28",20.7,ended,user_hangup,0,0,No
call_50ea86a3006f7c48ad7bd5783bb,109,"2025-10-18 19:09:40",61.7,ended,user_hangup,0,0,No
call_27700e4e12380b5a0203cf384a0,108,"2025-10-18 19:06:05",24.7,ended,user_hangup,0,0,No
call_3c4c5f2446ba7740cc5d00af5f0,108,"2025-10-18 19:00:44",22.8,ended,user_hangup,0,0,No
call_a7f6829e3a82408694025f141d3,108,"2025-10-18 19:00:10",27.7,ended,user_hangup,0,0,No
call_da2fc40fbbfad2e61de0e81c7d8,106,"2025-10-18 18:47:22",39.6,ended,user_hangup,0,0,No
call_331523b6c42f67e17669297bc5c,106,"2025-10-18 18:39:20",60.5,ended,user_hangup,0,0,No
call_d1f41a02f6eb6d31adcd1a5a6d9,106,"2025-10-18 18:34:38",50.4,ended,user_hangup,0,0,No
call_9486b545d04342bdc7fa3c0b967,106,"2025-10-18 16:50:21",42.5,ended,user_hangup,0,0,No
call_3ffbb4b8265b9e95b6099bf4831,106,"2025-10-18 16:44:21",100.5,ended,user_hangup,0,0,No
call_6911cfcbae25d8b24f2170d2f67,106,"2025-10-18 16:29:12",81,ended,user_hangup,0,0,No
call_cf1876be1edd61ef73400ed6380,106,"2025-10-18 16:18:53",48,ended,user_hangup,0,0,No
call_4539054ee4892c6abce031bdf95,106,"2025-10-18 16:03:59",72,ended,user_hangup,0,0,No
call_de1656496a133e2cbcd88664988,106,"2025-10-18 15:53:36",103.6,ended,user_hangup,0,0,No
call_de1656496a133e2cbcd886664988,N/A,"2025-10-18 15:53:28",N/A,ended,system_timeout,0,0,No
call_567cf1b23c68ba38ebdd9578ea2,106,"2025-10-18 13:54:59",64.8,ended,user_hangup,0,0,No
call_ab45deadd7db66c4956d5243861,106,"2025-10-18 12:09:27",144.5,ended,agent_hangup,0,0,No
